Area,Point Order,Polygon ID,Latitude,Longitude
Yishun,0.053800000,27,1.424945793,103.858752681
Yishun,0.053900000,27,1.424938354,103.858771497
Yishun,0.054000000,27,1.424928869,103.858795492
Yishun,0.054100000,27,1.424919804,103.858820767
Yishun,0.054200000,27,1.424916282,103.858830964
Yishun,0.054300000,27,1.424910839,103.858844099
Yishun,0.054400000,27,1.424905123,103.858856890
Yishun,0.054500000,27,1.424904708,103.858869060
Yishun,0.054600000,27,1.424903957,103.858891053
Yishun,0.054700000,27,1.424908378,103.858913728
Yishun,0.054800000,27,1.424910355,103.858923423
Yishun,0.054900000,27,1.424911449,103.858927970
Yishun,0.055000000,27,1.424916592,103.858942562
Yishun,0.055100000,27,1.424925325,103.858966789
Yishun,0.055200000,27,1.424932447,103.858984408
Yishun,0.055300000,27,1.424934122,103.858988552
Yishun,0.055400000,27,1.424935224,103.859021690
Yishun,0.055500000,27,1.424923526,103.859062951
Yishun,0.055600000,27,1.424911599,103.859095923
Yishun,0.055700000,27,1.424892393,103.859127488
Yishun,0.055800000,27,1.424868315,103.859153058
Yishun,0.055900000,27,1.424842750,103.859177054
Yishun,0.056000000,27,1.424803127,103.859190097
Yishun,0.056100000,27,1.424781754,103.859202248
Yishun,0.056200000,27,1.424767891,103.859217795
